,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
385,31113 Alvarado Niles Rd,Union City,CA,94587,37.597137,-122.069855,605000,1984,47950,TOWNHOUSE,557600,2,2,1129,396,"Exp Realty Of California, Inc",540000,FOR_SALE,2
386,34725 Alvarado Niles Rd APT 4,Union City,CA,94587,37.58593,-122.018074,529999,1972,0,CONDO,,2,1,798,385,Your Family Realty Center,495000,FOR_SALE,2
387,528 Trinidad Cir,Union City,CA,94587,37.590202,-122.05146,328880,,,MANUFACTURED,296100,3,2,1560,,Legacy Real Estate & Assoc.,153500,FOR_SALE,0
388,4160 Polaris Ave,Union City,CA,94587,37.584618,-122.063835,880000,1974,1794,TOWNHOUSE,952690,4,3,1584,333,Compass,246000,FOR_SALE,0
389,117 Aurora Plz,Union City,CA,94587,37.592342,-122.00384,439000,1985,0,CONDO,444100,2,1,688,335,Coldwell Banker Realty,363000,FOR_SALE,0
390,2139 Eric Ct APT 2,Union City,CA,94587,37.5943,-122.0535,589888,1974,,CONDO,751000,2,1,903,295,Kinetic Real Estate,420000,FOR_SALE,0
391,107 W Bolero Plz #69,Union City,CA,94587,37.592804,-122.00443,570000,1985,38332800,CONDO,,2,2,880,325,E.l.m. Realty Co,,FOR_SALE,1
392,31115 Alvarado Niles Rd,Union City,CA,94587,37.597137,-122.069855,614900,1983,0,CONDO,649400,2,2,1129,369,"Performance Realtors, Inc",505000,FOR_SALE,2
393,33955 Railroad Ave,Union City,CA,94587,37.59551,-122.0195,950000,1908,4791,SINGLE_FAMILY,1061200,2,2,837,,"Exp Realty Of California, Inc",212000,FOR_SALE,3
394,31113 Alvarado Niles Rd,Union City,CA,94587,37.597137,-122.069855,605000,1984,47950,TOWNHOUSE,557600,2,2,1129,396,"Exp Realty Of California, Inc",540000,FOR_SALE,2
395,34725 Alvarado Niles Rd APT 4,Union City,CA,94587,37.58593,-122.018074,529999,1972,0,CONDO,,2,1,798,385,Your Family Realty Center,495000,FOR_SALE,2
396,215 Poplar Ave,Hayward,CA,94541,37.670918,-122.10057,599000,1980,7898,TOWNHOUSE,706300,2,2,1272,200,Jenny He Realty Associates,565000,FOR_SALE,2
397,76 Middleton Pl,Hayward,CA,94544,37.655636,-122.087,828000,2015,1472,SINGLE_FAMILY,891678,4,4,2043,218,Intero Real Estate Services,669500,FOR_SALE,2
398,592 Jilliene Way,Hayward,CA,94544,37.623028,-122.036316,828800,1955,5001,SINGLE_FAMILY,925700,3,2,1078,,HomeSmart ICARE Realty,285000,FOR_SALE,2
399,28188 Ormond Ave,Hayward,CA,94544,37.624622,-122.07581,799000,1954,8415,SINGLE_FAMILY,898931,3,2,1132,,Elite Realty Services,350000,FOR_SALE,0
400,1377 Chelsea Way,Hayward,CA,94544,37.62246,-122.07115,349900,,,MANUFACTURED,352000,3,2,1552,,Advantage Homes,,FOR_SALE,0
401,1297 Sussex Way,Hayward,CA,94544,37.622437,-122.067955,325000,,,MANUFACTURED,298900,2,2,1536,,Realty World Dominion,,FOR_SALE,2
402,1865 Marcus Ct,Hayward,CA,94541,37.667534,-122.06466,699000,1981,0,TOWNHOUSE,730700,3,3,1620,580,Compass,429000,FOR_SALE,2
403,29159 Colorado Rd,Hayward,CA,94544,37.630238,-122.0573,189000,,,MANUFACTURED,197100,2,2,1344,,United Realty Partners,,FOR_SALE,0
404,26394 Underwood Ave,Hayward,CA,94544,37.641666,-122.083206,789000,1952,5131,SINGLE_FAMILY,844965,3,2,1046,,KW Bay Area Estates,300000,FOR_SALE,0
405,715 Heath Ct APT 190,Hayward,CA,94544,37.63395,-122.045105,550000,1988,8633,CONDO,531800,2,2,906,470,"Clifford R Stevens, Broker",177500,FOR_SALE,4
406,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
407,23264 Ida Ln,Hayward,CA,94541,37.661476,-122.100624,799999,1959,5227,MULTI_FAMILY,912200,4,2,1458,,Fohl Realty & Investments,82000,FOR_SALE,0
408,26587 Mission Blvd,Hayward,CA,94544,37.646088,-122.06285,849500,2019,7187,CONDO,931379,3,3,1823,399,Compass,,FOR_SALE,0
409,29001 Mayfair Rd,Hayward,CA,94544,37.621334,-122.07043,225000,1975,,MANUFACTURED,,2,2,1440,,PMZ Real Estate,,FOR_SALE,0
410,28573 Coleridge Ave,Hayward,CA,94544,37.629665,-122.06541,850000,1957,5227,SINGLE_FAMILY,880700,3,2,1256,,Prime Properties Of Calif,165000,FOR_SALE,2
411,23965 2nd St,Hayward,CA,94541,37.671223,-122.07503,725000,1947,5227,SINGLE_FAMILY,742000,2,1,1514,,Compass,626000,FOR_SALE,1
412,27452 Ponderosa Ct,Hayward,CA,94545,37.627983,-122.0956,689888,1970,1054,TOWNHOUSE,744101,3,2,1254,268,eXp Realty of California Inc.,565000,FOR_SALE,0
413,1751 Santa Cruz Way,Hayward,CA,94541,37.69131,-122.10216,869000,1953,5227,SINGLE_FAMILY,970200,3,2,1088,,Compass,607000,FOR_SALE,2
414,230 Smalley Ave,Hayward,CA,94541,37.669228,-122.098595,3400000,1950,22233,MULTI_FAMILY,,,0,4364,,Marcus & Millichap,,FOR_SALE,0
415,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
416,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
417,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
418,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
419,26736 Hayward Blvd,Hayward,CA,94542,37.656387,-122.048004,5000000,,30491,LOT,,,,30685,,"Exp Realty Of California, Inc",,FOR_SALE,0
420,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
421,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
422,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
423,215 Poplar Ave,Hayward,CA,94541,37.670918,-122.10057,599000,1980,7898,TOWNHOUSE,706300,2,2,1272,200,Jenny He Realty Associates,565000,FOR_SALE,2
424,76 Middleton Pl,Hayward,CA,94544,37.655636,-122.087,828000,2015,1472,SINGLE_FAMILY,891678,4,4,2043,218,Intero Real Estate Services,669500,FOR_SALE,2
425,31964 Olean St,Hayward,CA,94544,37.6119,-122.03239,875000,1951,5000,SINGLE_FAMILY,926900,4,2,1317,,Coldwell Banker Realty,430000,FOR_SALE,0
426,592 Jilliene Way,Hayward,CA,94544,37.623028,-122.036316,828800,1955,5001,SINGLE_FAMILY,925700,3,2,1078,,HomeSmart ICARE Realty,285000,FOR_SALE,2
427,28188 Ormond Ave,Hayward,CA,94544,37.624622,-122.07581,799000,1954,8415,SINGLE_FAMILY,898931,3,2,1132,,Elite Realty Services,350000,FOR_SALE,0
428,1377 Chelsea Way,Hayward,CA,94544,37.62246,-122.07115,349900,,,MANUFACTURED,352000,3,2,1552,,Advantage Homes,,FOR_SALE,0
429,1297 Sussex Way,Hayward,CA,94544,37.622437,-122.067955,325000,,,MANUFACTURED,298900,2,2,1536,,Realty World Dominion,,FOR_SALE,2
430,1865 Marcus Ct,Hayward,CA,94541,37.667534,-122.06466,699000,1981,0,TOWNHOUSE,730700,3,3,1620,580,Compass,429000,FOR_SALE,2
431,29159 Colorado Rd,Hayward,CA,94544,37.630238,-122.0573,189000,,,MANUFACTURED,197100,2,2,1344,,United Realty Partners,,FOR_SALE,0
432,21100 Gary Dr APT 112,Hayward,CA,94546,37.689774,-122.08976,629000,1980,69260,CONDO,718800,3,2,1232,492,Sereno,177000,FOR_SALE,2
433,19164 Garrison Ave,Castro Valley,CA,94546,37.706547,-122.079445,875000,1950,5227,SINGLE_FAMILY,872400,3,2,1405,,Compass,,FOR_SALE,1
434,18921 Patton Dr,Castro Valley,CA,94546,37.709145,-122.07739,749950,1949,4356,SINGLE_FAMILY,717600,2,1,860,,Tri Valley Brokers,,FOR_SALE,2
435,19652 Stanton Ave,Castro Valley,CA,94546,37.70114,-122.0924,949000,1920,6098,SINGLE_FAMILY,1281000,3,2,1873,,Compass,527000,FOR_SALE,1
436,3181 Keith Ave,Castro Valley,CA,94546,37.706863,-122.09258,1355000,1949,15681,SINGLE_FAMILY,1417000,4,2,2300,,Coldwell Banker Realty,,FOR_SALE,2
437,1508 Grove Way,Hayward,CA,94546,37.685432,-122.08854,865000,1950,7840,SINGLE_FAMILY,905500,3,2,1480,,Pam Winterbauer Real Estate,,FOR_SALE,2
438,25515 Crestfield Cir,Castro Valley,CA,94552,37.68617,-122.03944,1780000,2000,10454,SINGLE_FAMILY,2022500,5,3,2992,64,Keller Williams Realty,1125000,FOR_SALE,3
439,6733 Sunnyslope Ave,Castro Valley,CA,94552,37.707287,-122.0239,390000,,21344,LOT,,,,21344,,Intero Real Estate Services,385000,FOR_SALE,0
440,5851 Crow Canyon Rd,Castro Valley,CA,94552,37.711617,-122.037796,3960000,2015,599821,SINGLE_FAMILY,4328400,5,5,6295,,Legacy Real Estate & Assoc.,405000,FOR_SALE,12
441,21100 Gary Dr APT 112,Hayward,CA,94546,37.689774,-122.08976,629000,1980,69260,CONDO,718800,3,2,1232,492,Sereno,177000,FOR_SALE,2
442,19164 Garrison Ave,Castro Valley,CA,94546,37.706547,-122.079445,875000,1950,5227,SINGLE_FAMILY,872400,3,2,1405,,Compass,,FOR_SALE,1
443,18921 Patton Dr,Castro Valley,CA,94546,37.709145,-122.07739,749950,1949,4356,SINGLE_FAMILY,717600,2,1,860,,Tri Valley Brokers,,FOR_SALE,2
444,19652 Stanton Ave,Castro Valley,CA,94546,37.70114,-122.0924,949000,1920,6098,SINGLE_FAMILY,1281000,3,2,1873,,Compass,527000,FOR_SALE,1
445,3181 Keith Ave,Castro Valley,CA,94546,37.706863,-122.09258,1355000,1949,15681,SINGLE_FAMILY,1417000,4,2,2300,,Coldwell Banker Realty,,FOR_SALE,2
446,1508 Grove Way,Hayward,CA,94546,37.685432,-122.08854,865000,1950,7840,SINGLE_FAMILY,905500,3,2,1480,,Pam Winterbauer Real Estate,,FOR_SALE,2
447,25515 Crestfield Cir,Castro Valley,CA,94552,37.68617,-122.03944,1780000,2000,10454,SINGLE_FAMILY,2022500,5,3,2992,64,Keller Williams Realty,1125000,FOR_SALE,3
448,6733 Sunnyslope Ave,Castro Valley,CA,94552,37.707287,-122.0239,390000,,21344,LOT,,,,21344,,Intero Real Estate Services,385000,FOR_SALE,0
449,5851 Crow Canyon Rd,Castro Valley,CA,94552,37.711617,-122.037796,3960000,2015,599821,SINGLE_FAMILY,4328400,5,5,6295,,Legacy Real Estate & Assoc.,405000,FOR_SALE,12
450,21100 Gary Dr APT 112,Hayward,CA,94546,37.689774,-122.08976,629000,1980,69260,CONDO,718800,3,2,1232,492,Sereno,177000,FOR_SALE,2
451,19164 Garrison Ave,Castro Valley,CA,94546,37.706547,-122.079445,875000,1950,5227,SINGLE_FAMILY,872400,3,2,1405,,Compass,,FOR_SALE,1
452,18921 Patton Dr,Castro Valley,CA,94546,37.709145,-122.07739,749950,1949,4356,SINGLE_FAMILY,717600,2,1,860,,Tri Valley Brokers,,FOR_SALE,2
453,19652 Stanton Ave,Castro Valley,CA,94546,37.70114,-122.0924,949000,1920,6098,SINGLE_FAMILY,1281000,3,2,1873,,Compass,527000,FOR_SALE,1
454,3181 Keith Ave,Castro Valley,CA,94546,37.706863,-122.09258,1355000,1949,15681,SINGLE_FAMILY,1417000,4,2,2300,,Coldwell Banker Realty,,FOR_SALE,2
455,1508 Grove Way,Hayward,CA,94546,37.685432,-122.08854,865000,1950,7840,SINGLE_FAMILY,905500,3,2,1480,,Pam Winterbauer Real Estate,,FOR_SALE,2
456,25515 Crestfield Cir,Castro Valley,CA,94552,37.68617,-122.03944,1780000,2000,10454,SINGLE_FAMILY,2022500,5,3,2992,64,Keller Williams Realty,1125000,FOR_SALE,3
457,6733 Sunnyslope Ave,Castro Valley,CA,94552,37.707287,-122.0239,390000,,21344,LOT,,,,21344,,Intero Real Estate Services,385000,FOR_SALE,0
458,5851 Crow Canyon Rd,Castro Valley,CA,94552,37.711617,-122.037796,3960000,2015,599821,SINGLE_FAMILY,4328400,5,5,6295,,Legacy Real Estate & Assoc.,405000,FOR_SALE,12
459,21100 Gary Dr APT 112,Hayward,CA,94546,37.689774,-122.08976,629000,1980,69260,CONDO,718800,3,2,1232,492,Sereno,177000,FOR_SALE,2
460,19164 Garrison Ave,Castro Valley,CA,94546,37.706547,-122.079445,875000,1950,5227,SINGLE_FAMILY,872400,3,2,1405,,Compass,,FOR_SALE,1
461,18921 Patton Dr,Castro Valley,CA,94546,37.709145,-122.07739,749950,1949,4356,SINGLE_FAMILY,717600,2,1,860,,Tri Valley Brokers,,FOR_SALE,2
462,19652 Stanton Ave,Castro Valley,CA,94546,37.70114,-122.0924,949000,1920,6098,SINGLE_FAMILY,1281000,3,2,1873,,Compass,527000,FOR_SALE,1
463,3181 Keith Ave,Castro Valley,CA,94546,37.706863,-122.09258,1355000,1949,15681,SINGLE_FAMILY,1417000,4,2,2300,,Coldwell Banker Realty,,FOR_SALE,2
464,1508 Grove Way,Hayward,CA,94546,37.685432,-122.08854,865000,1950,7840,SINGLE_FAMILY,905500,3,2,1480,,Pam Winterbauer Real Estate,,FOR_SALE,2
465,25515 Crestfield Cir,Castro Valley,CA,94552,37.68617,-122.03944,1780000,2000,10454,SINGLE_FAMILY,2022500,5,3,2992,64,Keller Williams Realty,1125000,FOR_SALE,3
466,6733 Sunnyslope Ave,Castro Valley,CA,94552,37.707287,-122.0239,390000,,21344,LOT,,,,21344,,Intero Real Estate Services,385000,FOR_SALE,0
467,5851 Crow Canyon Rd,Castro Valley,CA,94552,37.711617,-122.037796,3960000,2015,599821,SINGLE_FAMILY,4328400,5,5,6295,,Legacy Real Estate & Assoc.,405000,FOR_SALE,12
468,1629 Tacoma Ave,Berkeley,CA,94707,37.891624,-122.28402,1095000,1915,3920,SINGLE_FAMILY,1603600,3,2,1250,,Compass,645000,FOR_SALE,1
469,157 Fairlawn Dr,Berkeley,CA,94708,37.885628,-122.25052,1425000,1955,6098,SINGLE_FAMILY,1945000,3,2,1943,,Red Oak Realty,1296000,FOR_SALE,2
470,832 Neilson St,Berkeley,CA,94707,37.89219,-122.28682,899000,1918,3484,SINGLE_FAMILY,1288700,2,1,904,,Compass,648000,FOR_SALE,1
471,2218 Carleton St,Berkeley,CA,94704,37.861427,-122.26367,2449000,1917,6534,MULTI_FAMILY,1718100,6,4,2964,,Compass,1500000,FOR_SALE,0
